Date,GameType,AwayScore,AwayTeam,HomeScore,HomeTeam,VenueName,AwayHR,HomeHR
2010-08-01,Regular Season,1,Atlanta Braves,2,Cincinnati Reds,Great American Ball Park,1,0
2010-08-01,Regular Season,3,Detroit Tigers,4,Boston Red Sox,Fenway Park,0,0
2010-08-01,Regular Season,6,Philadelphia Phillies,4,Washington Nationals,Nationals Park,0,1
2010-08-01,Regular Season,0,New York Yankees,3,Tampa Bay Rays,Tropicana Field,0,0
2010-08-01,Regular Season,2,Milwaukee Brewers,5,Houston Astros,Minute Maid Park,1,1
2010-08-01,Regular Season,1,Oakland Athletics,4,Chicago White Sox,U.S. Cellular Field,0,0
2010-08-01,Regular Season,4,Baltimore Orioles,5,Kansas City Royals,Kauffman Stadium,2,1
2010-08-01,Regular Season,0,Seattle Mariners,4,Minnesota Twins,Target Field,0,0
2010-08-01,Regular Season,1,Pittsburgh Pirates,9,St. Louis Cardinals,Busch Stadium,0,2
2010-08-01,Regular Season,7,Chicago Cubs,8,Colorado Rockies,Coors Field,1,0
2010-08-01,Regular Season,1,Texas Rangers,4,Los Angeles Angels,Angel Stadium of Anaheim,0,0
2010-08-01,Regular Season,4,Florida Marlins,5,San Diego Padres,PETCO Park,1,0
2010-08-01,Regular Season,0,Los Angeles Dodgers,2,San Francisco Giants,AT&T Park,0,0
2010-08-02,Regular Season,4,Cincinnati Reds,0,Pittsburgh Pirates,PNC Park,1,0
2010-08-02,Regular Season,8,Toronto Blue Jays,6,New York Yankees,Yankee Stadium,2,3
2010-08-02,Regular Season,6,Cleveland Indians,5,Boston Red Sox,Fenway Park,0,2
2010-08-02,Regular Season,2,Minnesota Twins,4,Tampa Bay Rays,Tropicana Field,1,0
2010-08-02,Regular Season,1,New York Mets,4,Atlanta Braves,Turner Field,0,1
2010-08-02,Regular Season,18,Milwaukee Brewers,1,Chicago Cubs,Wrigley Field,1,0
2010-08-02,Regular Season,9,Houston Astros,4,St. Louis Cardinals,Busch Stadium,0,1
2010-08-02,Regular Season,3,Washington Nationals,1,Arizona Diamondbacks,Chase Field,2,0
2010-08-02,Regular Season,0,Kansas City Royals,6,Oakland Athletics,Oakland Coliseum,0,1
2010-08-02,Regular Season,10,San Diego Padres,5,Los Angeles Dodgers,Dodger Stadium,2,1
2010-08-03,Regular Season,12,Chicago White Sox,2,Detroit Tigers,Comerica Park,3,0
2010-08-03,Regular Season,1,Chicago White Sox,7,Detroit Tigers,Comerica Park,1,0
2010-08-03,Regular Season,3,Los Angeles Angels,6,Baltimore Orioles,Oriole Park at Camden Yards,1,1
2010-08-03,Regular Season,6,Cincinnati Reds,7,Pittsburgh Pirates,PNC Park,0,0
2010-08-03,Regular Season,8,Toronto Blue Jays,2,New York Yankees,Yankee Stadium,4,1
2010-08-03,Regular Season,1,Cleveland Indians,3,Boston Red Sox,Fenway Park,1,2
2010-08-03,Regular Season,4,Minnesota Twins,6,Tampa Bay Rays,Tropicana Field,1,2
2010-08-03,Regular Season,3,New York Mets,2,Atlanta Braves,Turner Field,1,0
2010-08-03,Regular Season,6,Philadelphia Phillies,1,Florida Marlins,Sun Life Stadium,2,1
2010-08-03,Regular Season,4,Milwaukee Brewers,3,Chicago Cubs,Wrigley Field,0,1
2010-08-03,Regular Season,18,Houston Astros,4,St. Louis Cardinals,Busch Stadium,0,2
2010-08-03,Regular Season,10,San Francisco Giants,0,Colorado Rockies,Coors Field,3,0
2010-08-03,Regular Season,1,Washington Nationals,6,Arizona Diamondbacks,Chase Field,1,2
2010-08-03,Regular Season,3,Kansas City Royals,2,Oakland Athletics,Oakland Coliseum,1,0
2010-08-03,Regular Season,1,San Diego Padres,2,Los Angeles Dodgers,Dodger Stadium,1,0
2010-08-03,Regular Season,2,Texas Rangers,3,Seattle Mariners,Safeco Field,0,1
2010-08-04,Regular Season,9,Cincinnati Reds,4,Pittsburgh Pirates,PNC Park,1,3
2010-08-04,Regular Season,1,Toronto Blue Jays,5,New York Yankees,Yankee Stadium,0,1
2010-08-04,Regular Season,3,Milwaukee Brewers,15,Chicago Cubs,Wrigley Field,0,4
2010-08-04,Regular Season,1,San Francisco Giants,6,Colorado Rockies,Coors Field,0,3
2010-08-04,Regular Season,3,Kansas City Royals,4,Oakland Athletics,Oakland Coliseum,1,0
2010-08-04,Regular Season,7,Los Angeles Angels,9,Baltimore Orioles,Oriole Park at Camden Yards,0,1
2010-08-04,Regular Season,4,Chicago White Sox,1,Detroit Tigers,Comerica Park,2,0
2010-08-04,Regular Season,9,Cleveland Indians,1,Boston Red Sox,Fenway Park,2,1
2010-08-04,Regular Season,2,Minnesota Twins,1,Tampa Bay Rays,Tropicana Field,0,0
2010-08-04,Regular Season,3,New York Mets,8,Atlanta Braves,Turner Field,0,3
2010-08-04,Regular Season,7,Philadelphia Phillies,2,Florida Marlins,Sun Life Stadium,0,1
2010-08-04,Regular Season,4,Houston Astros,8,St. Louis Cardinals,Busch Stadium,1,1
2010-08-04,Regular Season,7,Washington Nationals,2,Arizona Diamondbacks,Chase Field,3,1
2010-08-04,Regular Season,0,San Diego Padres,9,Los Angeles Dodgers,Dodger Stadium,0,1
2010-08-04,Regular Season,11,Texas Rangers,6,Seattle Mariners,Safeco Field,2,1
2010-08-05,Regular Season,8,Minnesota Twins,6,Tampa Bay Rays,Tropicana Field,1,2
2010-08-05,Regular Season,6,Chicago White Sox,4,Detroit Tigers,Comerica Park,1,2
2010-08-05,Regular Season,4,Los Angeles Angels,5,Baltimore Orioles,Oriole Park at Camden Yards,1,1
2010-08-05,Regular Season,1,Colorado Rockies,5,Pittsburgh Pirates,PNC Park,0,2
2010-08-05,Regular Season,2,Cleveland Indians,6,Boston Red Sox,Fenway Park,1,1
2010-08-05,Regular Season,5,Philadelphia Phillies,4,Florida Marlins,Sun Life Stadium,1,0
2010-08-05,Regular Season,2,San Francisco Giants,3,Atlanta Braves,Turner Field,0,2
2010-08-05,Regular Season,4,Washington Nationals,8,Arizona Diamondbacks,Chase Field,4,0
2010-08-05,Regular Season,5,San Diego Padres,0,Los Angeles Dodgers,Dodger Stadium,1,0
2010-08-05,Regular Season,6,Texas Rangers,0,Seattle Mariners,Safeco Field,1,0
2010-08-06,Regular Season,3,Cincinnati Reds,0,Chicago Cubs,Wrigley Field,1,0
2010-08-06,Regular Season,4,Los Angeles Angels,2,Detroit Tigers,Comerica Park,1,1
2010-08-06,Regular Season,6,Boston Red Sox,3,New York Yankees,Yankee Stadium,2,1
2010-08-06,Regular Season,1,Chicago White Sox,2,Baltimore Orioles,Oriole Park at Camden Yards,1,0
2010-08-06,Regular Season,6,Colorado Rockies,3,Pittsburgh Pirates,PNC Park,1,1
2010-08-06,Regular Season,6,Minnesota Twins,7,Cleveland Indians,Progressive Field,1,1
2010-08-06,Regular Season,1,Tampa Bay Rays,2,Toronto Blue Jays,Rogers Centre,0,0
2010-08-06,Regular Season,7,St. Louis Cardinals,0,Florida Marlins,Sun Life Stadium,1,0
2010-08-06,Regular Season,5,New York Mets,7,Philadelphia Phillies,Citizens Bank Park,1,0
2010-08-06,Regular Season,3,San Francisco Giants,2,Atlanta Braves,Turner Field,0,2
2010-08-06,Regular Season,5,Houston Astros,6,Milwaukee Brewers,Miller Park,0,1
2010-08-06,Regular Season,1,San Diego Padres,2,Arizona Diamondbacks,Chase Field,1,1
2010-08-06,Regular Season,5,Texas Rangers,1,Oakland Athletics,Oakland Coliseum,2,0
2010-08-06,Regular Season,1,Kansas City Royals,7,Seattle Mariners,Safeco Field,0,1
2010-08-06,Regular Season,6,Washington Nationals,3,Los Angeles Dodgers,Dodger Stadium,2,1
2010-08-07,Regular Season,4,Cincinnati Reds,3,Chicago Cubs,Wrigley Field,1,0
2010-08-07,Regular Season,11,Tampa Bay Rays,17,Toronto Blue Jays,Rogers Centre,1,8
2010-08-07,Regular Season,2,Boston Red Sox,5,New York Yankees,Yankee Stadium,1,0
2010-08-07,Regular Season,2,Texas Rangers,6,Oakland Athletics,Oakland Coliseum,1,1
2010-08-07,Regular Season,10,Los Angeles Angels,1,Detroit Tigers,Comerica Park,1,0
2010-08-07,Regular Season,4,Chicago White Sox,2,Baltimore Orioles,Oriole Park at Camden Yards,1,1
2010-08-07,Regular Season,7,Colorado Rockies,8,Pittsburgh Pirates,PNC Park,2,3
2010-08-07,Regular Season,7,Minnesota Twins,2,Cleveland Indians,Progressive Field,2,0
2010-08-07,Regular Season,1,New York Mets,0,Philadelphia Phillies,Citizens Bank Park,1,0
2010-08-07,Regular Season,2,Houston Astros,5,Milwaukee Brewers,Miller Park,0,2
2010-08-07,Regular Season,0,San Francisco Giants,3,Atlanta Braves,Turner Field,0,0
2010-08-07,Regular Season,4,St. Louis Cardinals,5,Florida Marlins,Sun Life Stadium,0,3
2010-08-07,Regular Season,5,San Diego Padres,6,Arizona Diamondbacks,Chase Field,2,2
2010-08-07,Regular Season,2,Kansas City Royals,1,Seattle Mariners,Safeco Field,0,1
2010-08-07,Regular Season,2,Washington Nationals,3,Los Angeles Dodgers,Dodger Stadium,1,0
2010-08-08,Regular Season,4,Los Angeles Angels,9,Detroit Tigers,Comerica Park,0,0
2010-08-08,Regular Season,5,Minnesota Twins,4,Cleveland Indians,Progressive Field,1,1
2010-08-08,Regular Season,0,Tampa Bay Rays,1,Toronto Blue Jays,Rogers Centre,0,0
2010-08-08,Regular Season,3,Chicago White Sox,4,Baltimore Orioles,Oriole Park at Camden Yards,1,1
2010-08-08,Regular Season,8,Colorado Rockies,4,Pittsburgh Pirates,PNC Park,1,0
2010-08-08,Regular Season,5,New York Mets,6,Philadelphia Phillies,Citizens Bank Park,0,2
2010-08-08,Regular Season,3,San Francisco Giants,6,Atlanta Braves,Turner Field,1,2
2010-08-08,Regular Season,6,Houston Astros,11,Milwaukee Brewers,Miller Park,0,1
2010-08-08,Regular Season,11,Cincinnati Reds,4,Chicago Cubs,Wrigley Field,1,1
2010-08-08,Regular Season,2,Texas Rangers,3,Oakland Athletics,Oakland Coliseum,0,0
2010-08-08,Regular Season,2,Kansas City Royals,3,Seattle Mariners,Safeco Field,1,0
2010-08-08,Regular Season,10,San Diego Padres,1,Arizona Diamondbacks,Chase Field,2,0
2010-08-08,Regular Season,3,Washington Nationals,8,Los Angeles Dodgers,Dodger Stadium,2,0
2010-08-08,Regular Season,2,Boston Red Sox,7,New York Yankees,Yankee Stadium,1,1
2010-08-09,Regular Season,2,Boston Red Sox,1,New York Yankees,Yankee Stadium,0,1
2010-08-09,Regular Season,6,Tampa Bay Rays,3,Detroit Tigers,Comerica Park,1,1
2010-08-09,Regular Season,2,Chicago White Sox,3,Baltimore Orioles,Oriole Park at Camden Yards,1,2
2010-08-09,Regular Season,7,St. Louis Cardinals,3,Cincinnati Reds,Great American Ball Park,1,1
2010-08-09,Regular Season,4,Atlanta Braves,10,Houston Astros,Minute Maid Park,2,0
2010-08-09,Regular Season,7,Arizona Diamondbacks,4,Milwaukee Brewers,Miller Park,1,0
2010-08-09,Regular Season,4,Kansas City Royals,6,Los Angeles Angels,Angel Stadium of Anaheim,1,1
2010-08-09,Regular Season,1,Oakland Athletics,3,Seattle Mariners,Safeco Field,0,0
2010-08-09,Regular Season,3,Chicago Cubs,4,San Francisco Giants,AT&T Park,0,0
2010-08-10,Regular Season,14,Baltimore Orioles,8,Cleveland Indians,Progressive Field,4,1
2010-08-10,Regular Season,8,Florida Marlins,2,Washington Nationals,Nationals Park,1,0
2010-08-10,Regular Season,15,Los Angeles Dodgers,9,Philadelphia Phillies,Citizens Bank Park,2,3
2010-08-10,Regular Season,8,Tampa Bay Rays,0,Detroit Tigers,Comerica Park,0,0
2010-08-10,Regular Season,7,Boston Red Sox,5,Toronto Blue Jays,Rogers Centre,2,3
2010-08-10,Regular Season,0,Colorado Rockies,1,New York Mets,Citi Field,0,0
2010-08-10,Regular Season,8,St. Louis Cardinals,4,Cincinnati Reds,Great American Ball Park,1,0
2010-08-10,Regular Season,4,Atlanta Braves,2,Houston Astros,Minute Maid Park,2,0
2010-08-10,Regular Season,3,New York Yankees,4,Texas Rangers,Rangers Ballpark in Arlington,1,1
2010-08-10,Regular Season,2,Arizona Diamondbacks,1,Milwaukee Brewers,Miller Park,1,1
2010-08-10,Regular Season,12,Minnesota Twins,6,Chicago White Sox,U.S. Cellular Field,5,1
2010-08-10,Regular Season,1,Kansas City Royals,3,Los Angeles Angels,Angel Stadium of Anaheim,0,0
2010-08-10,Regular Season,1,Pittsburgh Pirates,4,San Diego Padres,PETCO Park,0,2
2010-08-10,Regular Season,0,Oakland Athletics,2,Seattle Mariners,Safeco Field,0,0
2010-08-10,Regular Season,8,Chicago Cubs,6,San Francisco Giants,AT&T Park,1,0
2010-08-11,Regular Season,6,St. Louis Cardinals,1,Cincinnati Reds,Great American Ball Park,1,0
2010-08-11,Regular Season,2,Tampa Bay Rays,3,Detroit Tigers,Comerica Park,0,1
2010-08-11,Regular Season,8,Atlanta Braves,2,Houston Astros,Minute Maid Park,1,0
2010-08-11,Regular Season,1,Kansas City Royals,2,Los Angeles Angels,Angel Stadium of Anaheim,1,1
2010-08-11,Regular Season,5,Oakland Athletics,1,Seattle Mariners,Safeco Field,0,0
2010-08-11,Regular Season,3,Baltimore Orioles,1,Cleveland Indians,Progressive Field,1,0
2010-08-11,Regular Season,9,Florida Marlins,5,Washington Nationals,Nationals Park,2,3
2010-08-11,Regular Season,0,Los Angeles Dodgers,2,Philadelphia Phillies,Citizens Bank Park,0,0
2010-08-11,Regular Season,10,Boston Red Sox,1,Toronto Blue Jays,Rogers Centre,4,0
2010-08-11,Regular Season,6,Colorado Rockies,2,New York Mets,Citi Field,1,1
2010-08-11,Regular Season,7,New York Yankees,6,Texas Rangers,Rangers Ballpark in Arlington,1,1
2010-08-11,Regular Season,8,Arizona Diamondbacks,2,Milwaukee Brewers,Miller Park,4,2
2010-08-11,Regular Season,1,Minnesota Twins,6,Chicago White Sox,U.S. Cellular Field,0,1
2010-08-11,Regular Season,5,Pittsburgh Pirates,8,San Diego Padres,PETCO Park,0,1
2010-08-11,Regular Season,4,Chicago Cubs,5,San Francisco Giants,AT&T Park,2,2
2010-08-12,Regular Season,0,Colorado Rockies,4,New York Mets,Citi Field,0,0
2010-08-12,Regular Season,5,Boston Red Sox,6,Toronto Blue Jays,Rogers Centre,2,1
2010-08-12,Regular Season,4,Arizona Diamondbacks,8,Milwaukee Brewers,Miller Park,1,1
2010-08-12,Regular Season,7,Chicago Cubs,8,San Francisco Giants,AT&T Park,0,3
2010-08-12,Regular Season,0,Pittsburgh Pirates,3,San Diego Padres,PETCO Park,0,1
2010-08-12,Regular Season,1,Baltimore Orioles,4,Cleveland Indians,Progressive Field,0,0
2010-08-12,Regular Season,5,Florida Marlins,0,Washington Nationals,Nationals Park,1,0
2010-08-12,Regular Season,9,Los Angeles Dodgers,10,Philadelphia Phillies,Citizens Bank Park,1,0
2010-08-12,Regular Season,6,Minnesota Twins,1,Chicago White Sox,U.S. Cellular Field,2,0
2010-08-12,Regular Season,4,New York Yankees,3,Kansas City Royals,Kauffman Stadium,1,0
2010-08-13,Regular Season,2,Arizona Diamondbacks,4,Washington Nationals,Nationals Park,0,1
2010-08-13,Regular Season,3,Seattle Mariners,2,Cleveland Indians,Progressive Field,0,0
2010-08-13,Regular Season,5,Baltimore Orioles,0,Tampa Bay Rays,Tropicana Field,1,0
2010-08-13,Regular Season,2,Florida Marlins,7,Cincinnati Reds,Great American Ball Park,2,1
2010-08-13,Regular Season,0,Philadelphia Phillies,1,New York Mets,Citi Field,0,0
2010-08-13,Regular Season,0,Los Angeles Dodgers,1,Atlanta Braves,Turner Field,0,1
2010-08-13,Regular Season,9,Boston Red Sox,10,Texas Rangers,Rangers Ballpark in Arlington,5,4
2010-08-13,Regular Season,1,Pittsburgh Pirates,4,Houston Astros,Minute Maid Park,0,1
2010-08-13,Regular Season,4,Detroit Tigers,8,Chicago White Sox,U.S. Cellular Field,2,3
2010-08-13,Regular Season,3,New York Yankees,4,Kansas City Royals,Kauffman Stadium,0,1
2010-08-13,Regular Season,3,Oakland Athletics,4,Minnesota Twins,Target Field,0,0
2010-08-13,Regular Season,3,Chicago Cubs,6,St. Louis Cardinals,Busch Stadium,1,1
2010-08-13,Regular Season,4,Milwaukee Brewers,5,Colorado Rockies,Coors Field,0,1
2010-08-13,Regular Season,3,Toronto Blue Jays,0,Los Angeles Angels,Angel Stadium of Anaheim,0,0
2010-08-13,Regular Season,3,San Diego Padres,2,San Francisco Giants,AT&T Park,0,0
2010-08-14,Regular Season,3,Baltimore Orioles,7,Tampa Bay Rays,Tropicana Field,1,2
2010-08-14,Regular Season,3,Chicago Cubs,2,St. Louis Cardinals,Busch Stadium,2,0
2010-08-14,Regular Season,2,San Diego Padres,3,San Francisco Giants,AT&T Park,0,1
2010-08-14,Regular Season,9,Arizona Diamondbacks,2,Washington Nationals,Nationals Park,4,1
2010-08-14,Regular Season,3,Detroit Tigers,2,Chicago White Sox,U.S. Cellular Field,2,0
2010-08-14,Regular Season,2,Pittsburgh Pirates,3,Houston Astros,Minute Maid Park,1,1
2010-08-14,Regular Season,9,Seattle Mariners,3,Cleveland Indians,Progressive Field,3,1
2010-08-14,Regular Season,4,Florida Marlins,5,Cincinnati Reds,Great American Ball Park,2,1
2010-08-14,Regular Season,2,Los Angeles Dodgers,1,Atlanta Braves,Turner Field,0,0
2010-08-14,Regular Season,8,New York Yankees,3,Kansas City Royals,Kauffman Stadium,5,1
2010-08-14,Regular Season,0,Oakland Athletics,2,Minnesota Twins,Target Field,0,0
2010-08-14,Regular Season,4,Philadelphia Phillies,0,New York Mets,Citi Field,0,0
2010-08-14,Regular Season,3,Boston Red Sox,1,Texas Rangers,Rangers Ballpark in Arlington,0,1
2010-08-14,Regular Season,5,Milwaukee Brewers,4,Colorado Rockies,Coors Field,0,1
2010-08-14,Regular Season,2,Toronto Blue Jays,7,Los Angeles Angels,Angel Stadium of Anaheim,1,3
2010-08-15,Regular Season,1,Seattle Mariners,9,Cleveland Indians,Progressive Field,0,3
2010-08-15,Regular Season,0,Florida Marlins,2,Cincinnati Reds,Great American Ball Park,0,1
2010-08-15,Regular Season,3,Arizona Diamondbacks,5,Washington Nationals,Nationals Park,1,2
2010-08-15,Regular Season,1,Los Angeles Dodgers,13,Atlanta Braves,Turner Field,0,1
2010-08-15,Regular Season,2,Baltimore Orioles,3,Tampa Bay Rays,Tropicana Field,1,1
2010-08-15,Regular Season,2,Pittsburgh Pirates,8,Houston Astros,Minute Maid Park,0,1
2010-08-15,Regular Season,13,Detroit Tigers,8,Chicago White Sox,U.S. Cellular Field,4,2
2010-08-15,Regular Season,0,New York Yankees,1,Kansas City Royals,Kauffman Stadium,0,0
2010-08-15,Regular Season,2,Oakland Athletics,4,Minnesota Twins,Target Field,0,1
2010-08-15,Regular Season,9,Chicago Cubs,7,St. Louis Cardinals,Busch Stadium,2,2
2010-08-15,Regular Season,3,Boston Red Sox,7,Texas Rangers,Rangers Ballpark in Arlington,1,1
2010-08-15,Regular Season,5,Milwaukee Brewers,6,Colorado Rockies,Coors Field,0,2
2010-08-15,Regular Season,4,Toronto Blue Jays,1,Los Angeles Angels,Angel Stadium of Anaheim,1,1
2010-08-15,Regular Season,8,San Diego Padres,2,San Francisco Giants,AT&T Park,1,1
2010-08-15,Regular Season,3,Philadelphia Phillies,1,New York Mets,Citi Field,0,1
2010-08-16,Regular Season,3,Detroit Tigers,1,New York Yankees,Yankee Stadium,2,0
2010-08-16,Regular Season,1,Florida Marlins,7,Pittsburgh Pirates,PNC Park,0,1
2010-08-16,Regular Season,4,Seattle Mariners,5,Baltimore Orioles,Oriole Park at Camden Yards,3,0
2010-08-16,Regular Season,3,Los Angeles Dodgers,4,Atlanta Braves,Turner Field,0,0
2010-08-16,Regular Season,4,Texas Rangers,6,Tampa Bay Rays,Tropicana Field,0,0
2010-08-16,Regular Season,3,New York Mets,1,Houston Astros,Minute Maid Park,1,0
2010-08-16,Regular Season,9,San Diego Padres,5,Chicago Cubs,Wrigley Field,0,1
2010-08-16,Regular Season,3,Toronto Blue Jays,1,Oakland Athletics,Oakland Coliseum,2,1
2010-08-17,Regular Season,2,Detroit Tigers,6,New York Yankees,Yankee Stadium,2,2
2010-08-17,Regular Season,6,Florida Marlins,0,Pittsburgh Pirates,PNC Park,0,0
2010-08-17,Regular Season,4,Seattle Mariners,0,Baltimore Orioles,Oriole Park at Camden Yards,1,0
2010-08-17,Regular Season,3,San Francisco Giants,9,Philadelphia Phillies,Citizens Bank Park,2,0
2010-08-17,Regular Season,0,Los Angeles Angels,6,Boston Red Sox,Fenway Park,0,2
2010-08-17,Regular Season,1,Texas Rangers,10,Tampa Bay Rays,Tropicana Field,0,1
2010-08-17,Regular Season,2,Washington Nationals,10,Atlanta Braves,Turner Field,0,1
2010-08-17,Regular Season,3,New York Mets,4,Houston Astros,Minute Maid Park,1,2
2010-08-17,Regular Season,1,San Diego Padres,0,Chicago Cubs,Wrigley Field,0,0
2010-08-17,Regular Season,1,Cleveland Indians,2,Kansas City Royals,Kauffman Stadium,0,2
2010-08-17,Regular Season,6,Chicago White Sox,7,Minnesota Twins,Target Field,3,3
2010-08-17,Regular Season,3,Milwaukee Brewers,2,St. Louis Cardinals,Busch Stadium,1,1
2010-08-17,Regular Season,6,Cincinnati Reds,2,Arizona Diamondbacks,Chase Field,1,1
2010-08-17,Regular Season,2,Toronto Blue Jays,6,Oakland Athletics,Oakland Coliseum,0,0
2010-08-17,Regular Season,0,Colorado Rockies,6,Los Angeles Dodgers,Dodger Stadium,0,0
2010-08-18,Regular Season,6,Texas Rangers,8,Tampa Bay Rays,Tropicana Field,2,2
2010-08-18,Regular Season,3,Milwaukee Brewers,2,St. Louis Cardinals,Busch Stadium,0,0
2010-08-18,Regular Season,5,San Diego Padres,1,Chicago Cubs,Wrigley Field,1,0
2010-08-18,Regular Season,4,Toronto Blue Jays,5,Oakland Athletics,Oakland Coliseum,0,1
2010-08-18,Regular Season,5,Detroit Tigers,9,New York Yankees,Yankee Stadium,3,3
2010-08-18,Regular Season,3,Florida Marlins,2,Pittsburgh Pirates,PNC Park,1,2
2010-08-18,Regular Season,6,Seattle Mariners,5,Baltimore Orioles,Oriole Park at Camden Yards,1,1
2010-08-18,Regular Season,2,San Francisco Giants,8,Philadelphia Phillies,Citizens Bank Park,2,2
2010-08-18,Regular Season,5,Los Angeles Angels,7,Boston Red Sox,Fenway Park,2,2
2010-08-18,Regular Season,2,Washington Nationals,3,Atlanta Braves,Turner Field,0,0
2010-08-18,Regular Season,3,New York Mets,2,Houston Astros,Minute Maid Park,0,1
2010-08-18,Regular Season,6,Chicago White Sox,7,Minnesota Twins,Target Field,1,1
2010-08-18,Regular Season,7,Cleveland Indians,9,Kansas City Royals,Kauffman Stadium,1,1
2010-08-18,Regular Season,11,Cincinnati Reds,7,Arizona Diamondbacks,Chase Field,2,2
2010-08-18,Regular Season,3,Colorado Rockies,2,Los Angeles Dodgers,Dodger Stadium,0,0
2010-08-19,Regular Season,5,Detroit Tigers,11,New York Yankees,Yankee Stadium,2,1
2010-08-19,Regular Season,6,Washington Nationals,2,Atlanta Braves,Turner Field,2,0
2010-08-19,Regular Season,5,San Diego Padres,3,Chicago Cubs,Wrigley Field,0,0
2010-08-19,Regular Season,4,Florida Marlins,2,Pittsburgh Pirates,PNC Park,1,1
2010-08-19,Regular Season,5,San Francisco Giants,2,Philadelphia Phillies,Citizens Bank Park,1,0
2010-08-19,Regular Season,0,Texas Rangers,4,Baltimore Orioles,Oriole Park at Camden Yards,0,0
2010-08-19,Regular Season,7,Los Angeles Angels,2,Boston Red Sox,Fenway Park,1,1
2010-08-19,Regular Season,2,New York Mets,3,Houston Astros,Minute Maid Park,0,1
2010-08-19,Regular Season,11,Chicago White Sox,0,Minnesota Twins,Target Field,2,0
2010-08-19,Regular Season,7,Cleveland Indians,3,Kansas City Royals,Kauffman Stadium,0,0
2010-08-19,Regular Season,9,Cincinnati Reds,5,Arizona Diamondbacks,Chase Field,2,2
2010-08-19,Regular Season,3,Tampa Bay Rays,4,Oakland Athletics,Oakland Coliseum,2,0
2010-08-19,Regular Season,0,Colorado Rockies,2,Los Angeles Dodgers,Dodger Stadium,0,1
2010-08-20,Regular Season,5,Atlanta Braves,3,Chicago Cubs,Wrigley Field,1,1
2010-08-20,Regular Season,0,Cleveland Indians,6,Detroit Tigers,Comerica Park,0,0
2010-08-20,Regular Season,7,New York Mets,2,Pittsburgh Pirates,PNC Park,1,1
2010-08-20,Regular Season,6,Seattle Mariners,0,New York Yankees,Yankee Stadium,2,0
2010-08-20,Regular Season,2,Texas Rangers,0,Baltimore Orioles,Oriole Park at Camden Yards,1,0
2010-08-20,Regular Season,0,Washington Nationals,1,Philadelphia Phillies,Citizens Bank Park,0,0
2010-08-20,Regular Season,0,Houston Astros,9,Florida Marlins,Sun Life Stadium,0,2
2010-08-20,Regular Season,16,Toronto Blue Jays,2,Boston Red Sox,Fenway Park,4,0
2010-08-20,Regular Season,2,Los Angeles Angels,7,Minnesota Twins,Target Field,0,1
2010-08-20,Regular Season,6,San Diego Padres,10,Milwaukee Brewers,Miller Park,2,2
2010-08-20,Regular Season,6,San Francisco Giants,3,St. Louis Cardinals,Busch Stadium,2,1
2010-08-20,Regular Season,3,Colorado Rockies,4,Arizona Diamondbacks,Chase Field,0,0
2010-08-20,Regular Season,4,Tampa Bay Rays,5,Oakland Athletics,Oakland Coliseum,1,1
2010-08-20,Regular Season,3,Cincinnati Reds,1,Los Angeles Dodgers,Dodger Stadium,0,0
2010-08-21,Regular Season,5,Chicago White Sox,6,Kansas City Royals,Kauffman Stadium,0,2
2010-08-21,Regular Season,7,Chicago White Sox,6,Kansas City Royals,Kauffman Stadium,1,1
2010-08-21,Regular Season,5,Seattle Mariners,9,New York Yankees,Yankee Stadium,3,1
2010-08-21,Regular Season,6,Texas Rangers,8,Baltimore Orioles,Oriole Park at Camden Yards,1,4
2010-08-21,Regular Season,9,Los Angeles Angels,3,Minnesota Twins,Target Field,2,0
2010-08-21,Regular Season,4,Atlanta Braves,5,Chicago Cubs,Wrigley Field,0,0
2010-08-21,Regular Season,5,New York Mets,1,Pittsburgh Pirates,PNC Park,1,0
2010-08-21,Regular Season,8,Washington Nationals,1,Philadelphia Phillies,Citizens Bank Park,1,0
2010-08-21,Regular Season,2,Cleveland Indians,5,Detroit Tigers,Comerica Park,0,1
2010-08-21,Regular Season,5,San Diego Padres,6,Milwaukee Brewers,Miller Park,1,1
2010-08-21,Regular Season,4,Toronto Blue Jays,5,Boston Red Sox,Fenway Park,1,1
2010-08-21,Regular Season,3,Houston Astros,6,Florida Marlins,Sun Life Stadium,0,0
2010-08-21,Regular Season,1,San Francisco Giants,5,St. Louis Cardinals,Busch Stadium,0,1
2010-08-21,Regular Season,1,Colorado Rockies,3,Arizona Diamondbacks,Chase Field,0,1
2010-08-21,Regular Season,5,Tampa Bay Rays,4,Oakland Athletics,Oakland Coliseum,2,0
2010-08-21,Regular Season,5,Cincinnati Reds,8,Los Angeles Dodgers,Dodger Stadium,0,4
2010-08-22,Regular Season,1,Cleveland Indians,8,Detroit Tigers,Comerica Park,1,0
2010-08-22,Regular Season,0,Seattle Mariners,10,New York Yankees,Yankee Stadium,0,3
2010-08-22,Regular Season,2,Houston Astros,1,Florida Marlins,Sun Life Stadium,1,1
2010-08-22,Regular Season,1,New York Mets,2,Pittsburgh Pirates,PNC Park,0,2
2010-08-22,Regular Season,6,Texas Rangers,4,Baltimore Orioles,Oriole Park at Camden Yards,2,2
2010-08-22,Regular Season,0,Toronto Blue Jays,5,Boston Red Sox,Fenway Park,0,1
2010-08-22,Regular Season,0,Washington Nationals,6,Philadelphia Phillies,Citizens Bank Park,0,1
